service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20140608SAT,0,0,0,0,0,1,0,20140608,20151231
A20140608SUN,0,0,0,0,0,0,1,20140608,20151231
A20140608WKD,1,1,1,1,1,0,0,20140608,20151231
B20140608SAT,0,0,0,0,0,1,0,20140608,20151231
B20140608SAT_N,0,0,0,0,0,1,0,20140608,20151231
B20140608SUN,0,0,0,0,0,0,1,20140608,20151231
B20140608SUN_N,0,0,0,0,0,0,1,20140608,20151231
B20140608WKD,1,1,1,1,1,0,0,20140608,20151231
B20140608WKD_N,1,1,1,1,1,0,0,20140608,20151231
R20140615SAT,0,0,0,0,0,1,0,20140615,20151231
R20140615SUN,0,0,0,0,0,0,1,20140615,20151231
R20140615WKD,1,1,1,1,1,0,0,20140615,20151231
S20140615MON,1,0,0,0,0,0,0,20140615,20151231
