route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
2,A20140608SAT_000250_2..S08R,A20140608SAT,FLATBUSH AV - BROOKLYN COLLEGE,1,2..S08R
3,A20140608SAT_000300_3..S42R,A20140608SAT,TIMES SQ - 42 ST,1,3..S42R
4,A20140608SAT_000400_4..S01R,A20140608SAT,NEW LOTS AV,1,4..S01R
1,A20140608SAT_000650_1..S02R,A20140608SAT,SOUTH FERRY LOOP,1,
6,A20140608SAT_000700_6..S01R,A20140608SAT,BROOKLYN BRIDGE - CITY HALL,1,6..S01R
7,A20140608SAT_001150_7..S13R,A20140608SAT,TIMES SQ - 42 ST,1,7..S13R
4,A20140608SAT_001400_4..S13R,A20140608SAT,NEW LOTS AV,1,4..S13R
5,A20140608SAT_001900_5..S32R,A20140608SAT,E 180 ST,1,5..S32R
6,A20140608SAT_002200_6..S01R,A20140608SAT,BROOKLYN BRIDGE - CITY HALL,1,6..S01R
2,A20140608SAT_002250_2..S08R,A20140608SAT,FLATBUSH AV - BROOKLYN COLLEGE,1,2..S08R
3,A20140608SAT_002300_3..S42R,A20140608SAT,TIMES SQ - 42 ST,1,3..S42R
1,A20140608SAT_002550_1..S02R,A20140608SAT,SOUTH FERRY LOOP,1,
7,A20140608SAT_002550_7..S13R,A20140608SAT,TIMES SQ - 42 ST,1,7..S13R
4,A20140608SAT_003400_4..S13R,A20140608SAT,NEW LOTS AV,1,4..S13R
5,A20140608SAT_003900_5..S32R,A20140608SAT,E 180 ST,1,5..S32R
6,A20140608SAT_003950_6..S01R,A20140608SAT,BROOKLYN BRIDGE - CITY HALL,1,6..S01R
5,A20140608SAT_004000_5..N32R,A20140608SAT,EASTCHESTER - DYRE AV,0,5..N32R
7,A20140608SAT_004000_7..S13R,A20140608SAT,TIMES SQ - 42 ST,1,7..S13R
2,A20140608SAT_004250_2..S08R,A20140608SAT,FLATBUSH AV - BROOKLYN COLLEGE,1,2..S08R
3,A20140608SAT_004300_3..S42R,A20140608SAT,TIMES SQ - 42 ST,1,3..S42R
1,A20140608SAT_004550_1..S02R,A20140608SAT,SOUTH FERRY LOOP,1,
3,A20140608SAT_004700_3..N42R,A20140608SAT,HARLEM - 148 ST,0,3..N42R
7,A20140608SAT_005150_7..N13R,A20140608SAT,FLUSHING - MAIN ST,0,7..N13R
4,A20140608SAT_005400_4..S13R,A20140608SAT,NEW LOTS AV,1,4..S13R
5,A20140608SAT_005900_5..S32R,A20140608SAT,E 180 ST,1,5..S32R
6,A20140608SAT_005950_6..S01R,A20140608SAT,BROOKLYN BRIDGE - CITY HALL,1,6..S01R
5,A20140608SAT_006000_5..N32R,A20140608SAT,EASTCHESTER - DYRE AV,0,5..N32R
7,A20140608SAT_006000_7..S13R,A20140608SAT,TIMES SQ - 42 ST,1,7..S13R
2,A20140608SAT_006250_2..S08R,A20140608SAT,FLATBUSH AV - BROOKLYN COLLEGE,1,2..S08R
3,A20140608SAT_006300_3..S42R,A20140608SAT,TIMES SQ - 42 ST,1,3..S42R
7,A20140608SAT_006450_7..N13R,A20140608SAT,FLUSHING - MAIN ST,0,7..N13R
1,A20140608SAT_006550_1..S02R,A20140608SAT,SOUTH FERRY LOOP,1,
3,A20140608SAT_006700_3..N42R,A20140608SAT,HARLEM - 148 ST,0,3..N42R
4,A20140608SAT_007400_4..S13R,A20140608SAT,NEW LOTS AV,1,4..S13R
