     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,11/15/2014-11/21/2014,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00054916,00002126,00000299,00000899,00000321,00021103,00030184,00000000,00000000,00000000,00000388,00001021,00000612,00000685,00003093,00001225,00000400,00000000,00000755,00000000,00000000,00000000,00002556,                                                                                                                               
R003,CYPRESS HILLS                 ,00003423,00000186,00000048,00000029,00000004,00002452,00001305,00000000,00000000,00000000,00000000,00000033,00000077,00000005,00000082,00000015,00000000,00000000,00000021,00000000,00000000,00000000,00000943,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00008426,00000424,00000040,00000118,00000006,00005693,00004195,00000000,00000000,00000000,00000000,00000068,00000212,00000000,00000259,00000034,00000062,00000000,00000085,00000000,00000000,00000000,00004569,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00009680,00000550,00000039,00000141,00000006,00005399,00005315,00000000,00000000,00000000,00000004,00000090,00000245,00000000,00000207,00000058,00000059,00000000,00000072,00000000,00000000,00000000,00002114,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00009805,00000477,00000053,00000135,00000001,00007921,00006152,00000000,00000000,00000000,00000014,00000123,00000181,00000019,00000353,00000058,00000050,00000000,00000111,00000000,00000000,00000000,00002050,                                                                                                                               
R007,104TH STREET                  ,00006947,00000323,00000054,00000054,00000011,00004170,00003210,00000000,00000000,00000000,00000012,00000049,00000107,00000001,00000141,00000021,00000026,00000000,00000072,00000000,00000000,00000000,00001511,                                                                                                                               
R008,111TH STREET                  ,00006189,00000266,00000035,00000042,00000011,00003725,00002807,00000000,00000000,00000000,00000003,00000045,00000121,00000009,00000152,00000032,00000008,00000000,00000059,00000000,00000000,00000000,00002975,                                                                                                                               
R009,121ST STREET                  ,00005539,00000238,00000023,00000086,00000010,00004055,00002643,00000000,00000000,00000000,00000001,00000029,00000128,00000002,00000121,00000061,00000033,00000000,00000039,00000000,00000000,00000000,00000793,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00097496,00005411,00000409,00001292,00000174,00047784,00060927,00000000,00000000,00000000,00000274,00000994,00001282,00000207,00004024,00001497,00000885,00000000,00002291,00000000,00000000,00000000,00003436,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00263279,00011007,00000595,00001688,00000178,00043416,00076697,00000000,00000000,00000000,00000236,00002987,00003855,00000139,00004599,00005330,00001309,00000000,00002546,00000000,00000000,00000000,00002045,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00233826,00009237,00000650,00001722,00005289,00048305,00080436,00000000,00000001,00000000,00000800,00002467,00002825,00006843,00005010,00006071,00001510,00000000,00003025,00000000,00000000,00000000,00003082,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00051117,00002203,00000194,00000753,00000966,00017333,00033462,00000000,00000000,00000000,00000306,00000684,00000267,00001998,00001793,00001382,00000531,00000000,00000910,00000000,00000000,00000000,00000990,                                                                                                                               
R014,FULTON STREET                 ,00112581,00004139,00000315,00000802,00000873,00034597,00066278,00000000,00000000,00000003,00000532,00001771,00000792,00001637,00005323,00002447,00001091,00000000,00001392,00000000,00000000,00000000,00004117,                                                                                                                               
R015,FIFTH AVENUE                  ,00085422,00003512,00000097,00000505,00001146,00017820,00036530,00000000,00000000,00000000,00000277,00002194,00000530,00001790,00003825,00002969,00000614,00000000,00001183,00000000,00000000,00000000,00000442,                                                                                                                               
R016,LEXINGTON AVENUE              ,00022998,00001185,00000073,00000246,00000120,00006916,00013950,00000000,00000000,00000000,00000078,00000476,00000115,00000127,00001080,00000582,00000261,00000000,00000247,00000000,00000000,00000000,00000292,                                                                                                                               
R017,LEXINGTON AVENUE              ,00109663,00006216,00000255,00001052,00000982,00027439,00062921,00000000,00000000,00000000,00000348,00002473,00000866,00001469,00004918,00003651,00001247,00000000,00001475,00000000,00000000,00000000,00004309,                                                                                                                               
R018,ROOSEVELT AVE/JACKSON HTS     ,00091297,00007087,00000904,00002906,00000031,00068550,00109193,00000000,00000000,00000000,00000122,00000736,00001607,00000072,00005136,00000779,00000664,00000000,00001133,00000000,00000000,00000000,00008640,                                                                                                                               
R019,179TH STREET & HILLSIDE AVE   ,00033526,00002010,00000298,00000991,00000005,00022932,00030071,00000000,00000000,00000000,00000066,00000715,00000790,00000026,00002620,00000478,00000199,00000000,00000195,00000001,00000000,00000000,00004182,                                                                                                                               
R020,47-50 STREETS/ROCKEFELLER     ,00169080,00008800,00000558,00001489,00000915,00055255,00106088,00000000,00000000,00000000,00000605,00004103,00001259,00000986,00010745,00004004,00001603,00000000,00001836,00000000,00000000,00000000,00003172,                                                                                                                               
R021,42ND STREET & 6TH AVENUE      ,00099389,00004820,00000330,00001107,00000190,00037868,00079545,00000000,00000000,00000000,00000427,00002950,00000681,00000195,00007564,00002250,00001159,00000000,00001124,00000000,00000000,00000000,00001923,                                                                                                                               
R022,34TH STREET & 6TH AVENUE      ,00192278,00009615,00000729,00002166,00001025,00082692,00134456,00000000,00000000,00000000,00001733,00002740,00001976,00001132,00009726,00002819,00001671,00000000,00002515,00000000,00000000,00000000,00003455,                                                                                                                               
