stop_id,original_name
101,242ND ST - VAN CORTLAND PARK
103,238TH ST
104,231ST ST
106,225TH ST - MARBLE HILL
107,215TH ST - 10 AV
108,207TH ST - 10 AV
109,DYCKMAN ST - 200 ST
110,191 ST - ST NICHOLAS
111,181 ST - ST NICHOLAS
112,168TH ST- WASHINGTON HGTS
113,157TH ST
114,145TH ST
115,137TH ST - CITY COLLEGE
116,125TH ST
117,116TH ST - COLUMBIA UNIV
118,110TH ST - CATHEDRAL PKWY
119,103RD ST
120,96TH ST
121,86TH ST
122,79TH ST
123,72ND ST
124,66TH ST - LINCOLN CENTER
125,59 ST COLUMBUS CIRCLE
126,50TH ST
127,42ND ST - TIMES SQ
128,34TH ST - PENN STA
129,28TH ST
130,23RD ST
131,18TH ST
132,14TH ST
133,CHRISTOPHER - SHERIDAN S
134,HOUSTON ST
135,CANAL ST
136,FRANKLIN ST
137,CHAMBERS ST
139,RECTOR ST
142,SOUTH FERRY TERMINAL
201,EAST 241ST ST - WAKEFIELD
204,EAST 238TH ST - NEREID
205,EAST 233RD ST
206,EAST 225TH ST
207,219TH ST - WHITE PLAINS RD
208,GUN HILL ROAD
209,BURKE AVENUE
210,ALLERTON AVE
211,PELHAM PKWY - BRONX ZOO
212,BRONX PARK EAST
213,E 180TH ST
214,EAST TREMONT AVE - WEST FARMS SQ
215,174TH ST
216,FREEMAN ST
217,SIMPSON ST
218,INTERVALE AVENUE
219,PROSPECT AVENUE
220,JACKSON AVE
221,149TH ST - 3RD AVE
222,149TH ST - GRAND CONCOURSE - LOWER LEVEL
224,135 ST
225,125 ST
226,116 ST
227,110 ST - CENTRAL PARK NORTH
228,PARK PLACE
229,FULTON ST
230,WALL - WILLIAM ST
231,CLARK ST
232,BOROUGH HALL
233,HOYT ST - FULTON MALL
234,NEVINS ST
235,ATLANTIC AVENUE - PACIFIC ST
236,BERGEN ST
237,GRAND ARMY PLAZA
238,EASTERN PARKWAY - BROOKLYN MUSEUM
239,FRANKLIN  AVE
241,PRESIDENT ST
242,STERLING ST
243,WINTHROP ST
244,CHURCH  AVE
245,BEVERLY ROAD
246,NEWKIRK AVE
247,FLATBUSH AVENUE - BROOKLYN COLLEGE
248,NOSTRAND AVE
249,KINGSTON AVE
250,UTICA AVENUE - CROWN HEIGHTS
251,SUTTER AVE - RUTLAND RD
252,SARATOGA AVE
253,ROCKAWAY AVE
254,JUNIUS ST
255,PENNSYLVANIA AVE
256,VAN SICLEN AVE
257,NEW LOTS STATION
301,148TH ST AVE - HARLEM
302,145TH ST
401,WOODLAWN - JEROME AVENUE
402,MOSHOLU PARKWAY
405,BEDFORD PARK BLVD - LEHMAN COLLEGE
406,KINGSBRIDGE ROAD
407,FORDHAM ROAD
408,183RD ST
409,BURNSIDE AVENUE
410,176TH ST
411,MT EDEN AVE
412,170TH ST
413,167TH ST
414,161ST ST - YANKEE STADIUM
415,149TH ST - GRAND CONCOURSE - UPPER LEVEL
416,138TH ST - GRAND CONCOURSE
418,FULTON ST
419,WALL ST
420,BOWLING GREEN
423,BOROUGH HALL
501,DYRE AVENUE - EASTCHESTER
502,BAYCHESTER AVENUE
503,GUN HILL ROAD
504,PELHAM PARKWAY
505,MORRIS PARK
601,PELHAM BAY PARK
602,BUHRE AVENUE
603,MIDDLETOWN ROAD
604,WESTCHESTER SQ - EAST TREMONT
606,ZEREGA AVENUE
607,CASTLE HILL AVENUE
608,177TH ST PARKCHESTER
609,ST LAWRENCE AVENUE
610,SOUNDVIEW AVENUE - MORRISON
611,ELDER AVENUE
612,WHITLOCK AVENUE
613,HUNTS POINT AVE
614,LONGWOOD AVENUE
615,EAST 149TH ST
616,E 143RD ST - ST MARY'S ST
617,CYPRESS AVENUE
618,BROOK AVENUE
619,138TH ST THIRD AVENUE
621,125TH ST
622,116TH ST
623,110TH ST
624,103RD ST
625,96TH ST
626,86TH ST
627,77TH ST
628,68TH ST - HUNTER COLLEGE
629,59TH ST
630,51TH ST
631,GRAND CENTRAL - 42 ST
632,33RD ST
633,28TH ST
634,23RD ST
635,14TH ST - UNION SQ
636,ASTOR PL - 8TH ST
637,BLEECKER ST
638,SPRING ST
639,CANAL ST
640,BROOKLYN BRIDGE - CITY HALL
901,GRAND CENTRAL SHUTTLE - 42 ST
902,TIMES  SQ SHUTTLE - 42 ST
L01,8TH AVENUE  14 ST
L02,6 AVENUE
L03,UNION SQUARE - 14 ST
L05,3RD AVENUE - 14 ST
L06,1ST AVENUE - 14 ST
L08,BEDFORD AVENUE
L10,LORIMER ST
L11,GRAHAM AVENUE
L12,GRAND ST
L13,MONTROSE AVENUE
L14,MORGAN AVENUE
L15,JEFFERSON ST
L16,DEKALB AVE - CANARSIE LI
L17,MYRTLE AVENUE - WYCKOFF AV
L19,HALSEY ST - CANARSIE
L20,WILSON AVENUE
L21,BUSHWICK AVENUE - ABERDEEN ST
L22,BROADWAY JUNCTION
L24,ATLANTIC AVENUE
L25,SUTTER AVENUE
L26,LIVONIA AVENUE
L27,NEW LOTS AVENUE
L28,EAST 105TH ST
L29,ROCKAWAY PARKWAY - CANARSIE
138,CORTLANDT ST
