stop_id,original_name,changed_name
101,242ND ST - VAN CORTLAND PARK,242ND ST - VAN CORTLAND PARK
103,238TH ST,238TH ST
104,231ST ST,231ST ST
106,225TH ST - MARBLE HILL,225TH ST - MARBLE HILL
107,215TH ST - 10 AV,215TH ST - 10 AV
108,207TH ST - 10 AV,207TH ST - 10 AV
109,DYCKMAN ST - 200 ST,DYCKMAN ST - 200 ST
110,191 ST - ST NICHOLAS,191 ST - ST NICHOLAS
111,181 ST - ST NICHOLAS,181 ST - ST NICHOLAS
112,168TH ST- WASHINGTON HGTS,168TH ST- WASHINGTON HGTS
113,157TH ST,157TH ST
114,145TH ST,145TH ST
115,137TH ST - CITY COLLEGE,137TH ST - CITY COLLEGE
116,125TH ST,125TH ST
117,116TH ST - COLUMBIA UNIV,116TH ST - COLUMBIA UNIV
118,110TH ST - CATHEDRAL PKWY,110TH ST - CATHEDRAL PKWY
119,103RD ST,103RD ST
120,96TH ST,96TH ST
121,86TH ST,86TH ST
122,79TH ST,79TH ST
123,72ND ST,72ND ST
124,66TH ST - LINCOLN CENTER,66TH ST - LINCOLN CENTER
125,59 ST COLUMBUS CIRCLE,59 ST COLUMBUS CIRCLE
126,50TH ST,50TH ST
127,42ND ST - TIMES SQ,42ND ST - TIMES SQ
128,34TH ST - PENN STA,34TH ST - PENN STA
129,28TH ST,28TH ST
130,23RD ST,23RD ST
131,18TH ST,18TH ST
132,14TH ST,14TH ST
133,CHRISTOPHER - SHERIDAN S,CHRISTOPHER - SHERIDAN S
134,HOUSTON ST,HOUSTON ST
135,CANAL ST,CANAL ST
136,FRANKLIN ST,FRANKLIN ST
137,CHAMBERS ST,CHAMBERS ST
139,RECTOR ST,RECTOR ST
142,SOUTH FERRY TERMINAL,SOUTH FERRY TERMINAL
201,EAST 241ST ST - WAKEFIELD,EAST 241ST ST - WAKEFIELD
204,EAST 238TH ST - NEREID,EAST 238TH ST - NEREID
205,EAST 233RD ST,EAST 233RD ST
206,EAST 225TH ST,EAST 225TH ST
207,219TH ST - WHITE PLAINS RD,219TH ST - WHITE PLAINS RD
208,GUN HILL ROAD,GUN HILL ROAD
209,BURKE AVENUE,BURKE AVENUE
210,ALLERTON AVE,ALLERTON AVE
211,PELHAM PKWY - BRONX ZOO,PELHAM PKWY - BRONX ZOO
212,BRONX PARK EAST,BRONX PARK EAST
213,E 180TH ST,E 180TH ST
214,EAST TREMONT AVE - WEST FARMS SQ,EAST TREMONT AVE - WEST FARMS SQ
215,174TH ST,174TH ST
216,FREEMAN ST,FREEMAN ST
217,SIMPSON ST,SIMPSON ST
218,INTERVALE AVENUE,INTERVALE AVENUE
219,PROSPECT AVENUE,PROSPECT AVENUE
220,JACKSON AVE,JACKSON AVE
221,149TH ST - 3RD AVE,149TH ST - 3RD AVE
222,149TH ST - GRAND CONCOURSE - LOWER LEVEL,149TH ST - GRAND CONCOURSE - LOWER LEVEL
224,135 ST,135 ST
225,125 ST,125 ST
226,116 ST,116 ST
227,110 ST - CENTRAL PARK NORTH,110 ST - CENTRAL PARK NORTH
228,PARK PLACE,PARK PLACE
229,FULTON ST,FULTON ST
230,WALL - WILLIAM ST,WALL - WILLIAM ST
231,CLARK ST,CLARK ST
